workload,repeat,duration_s,flops,sram_bytes,dram_bytes,spikes,energy_est_j
brain,7,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,8,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,9,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,10,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,11,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,12,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,13,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,14,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,15,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,16,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,17,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,18,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,19,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,20,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,21,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,22,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,23,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,24,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,25,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,26,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,27,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,28,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,29,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,30,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,31,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,32,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,33,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,34,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,35,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,36,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,37,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,38,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,39,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,40,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,41,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,42,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,43,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,44,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,45,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,46,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,47,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,48,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,49,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,50,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,51,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,52,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,53,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,54,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,55,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,56,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,57,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,58,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,59,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,60,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,61,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,62,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,63,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,64,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,65,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,66,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,67,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,68,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,69,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,70,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,71,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,72,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,73,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,74,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,75,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,76,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,77,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,78,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,79,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,80,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,81,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,82,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,83,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,84,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,85,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,86,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,87,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,88,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,89,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,90,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,91,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,92,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,93,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,94,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,95,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,96,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,97,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,98,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,99,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
mind,0,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,1,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,2,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,3,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,4,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,5,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,6,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,7,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,8,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,9,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,10,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,11,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,12,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
mind,13,0.5,2922872288000,132583974319.99998,56821703280.0,0.0,4.322564751032
